ME ,F-Gases,Emissions,Mt CO2e,Baseline,926,942,958,974,989,"1,005","1,021","1,037","1,052","1,068","1,084","1,100","1,116","1,132","1,148","1,165","1,181","1,197","1,213","1,229","1,245","1,262","1,280","1,297","1,314","1,331","1,349","1,366","1,383","1,400","1,418","1,430","1,442","1,454","1,466","1,479","1,491","1,503","1,515","1,527","1,540","1,564","1,588","1,612","1,636","1,660","1,684","1,708","1,732","1,756","1,780","1,800","1,819","1,838","1,857","1,876","1,895","1,915","1,934","1,953","1,972","1,990","2,007","2,024","2,042","2,059","2,077","2,094","2,111","2,129","2,146","2,162","2,177","2,192","2,208","2,223","2,238","2,254","2,269","2,285","2,300",,,,,,,,,,
ME ,Cement,Emissions,Mt CO2e,Baseline,"2,339","2,366","2,394","2,421","2,449","2,476","2,511","2,545","2,580","2,614","2,649","2,684","2,718","2,753","2,788","2,822","2,856","2,891","2,924","2,958","2,992","3,040","3,088","3,136","3,184","3,231","3,279","3,326","3,372","3,419","3,465","3,502","3,539","3,576","3,612","3,648","3,683","3,719","3,754","3,789","3,823","3,861","3,899","3,937","3,974","4,011","4,048","4,084","4,120","4,156","4,191","4,224","4,256","4,288","4,320","4,352","4,383","4,413","4,444","4,474","4,504","4,527","4,550","4,572","4,595","4,617","4,638","4,660","4,681","4,702","4,722","4,747","4,771","4,795","4,819","4,842","4,865","4,888","4,910","4,933","4,955",,,,,,,,,,
EURASIA ,CH4,Emissions,Mt CO2e,Baseline,"9,334","9,426","9,518","9,610","9,701","9,793","9,903","10,014","10,125","10,235","10,344","10,452","10,560","10,667","10,774","10,880","10,986","11,092","11,197","11,301","11,405","11,543","11,686","11,827","11,969","12,109","12,249","12,388","12,526","12,664","12,800","12,912","13,023","13,134","13,243","13,352","13,460","13,566","13,672","13,777","13,881","13,995","14,108","14,220","14,332","14,442","14,551","14,659","14,766","14,873","14,978","15,076","15,173","15,269","15,364","15,458","15,551","15,643","15,734","15,824","15,913","15,985","16,056","16,125","16,194","16,262","16,329","16,395","16,460","16,524","16,587","16,661","16,734","16,806","16,877","16,948","17,017","17,085","17,153","17,220","17,286",,,,,,,,,,
EURASIA ,N2O,Emissions,Mt CO2e,Baseline,"4,766","4,806","4,845","4,885","4,924","4,964","5,003","5,043","5,083","5,122","5,162","5,193","5,224","5,255","5,286","5,317","5,348","5,379","5,410","5,441","5,472","5,496","5,524","5,552","5,579","5,606","5,632","5,658","5,683","5,708","5,732","5,755","5,779","5,801","5,823","5,845","5,866","5,886","5,906","5,926","5,945","5,963","5,981","5,998","6,015","6,031","6,047","6,062","6,077","6,091","6,105","6,118","6,131","6,143","6,155","6,166","6,176","6,186","6,196","6,205","6,213","6,221","6,229","6,236","6,242","6,248","6,253","6,258","6,263","6,266","6,270","6,272","6,275","6,276","6,278","6,278","6,278","6,278","6,277","6,276","6,274",,,,,,,,,,
EURASIA ,F-Gases,Emissions,Mt CO2e,Baseline,926,942,958,974,989,"1,005","1,021","1,037","1,052","1,068","1,084","1,100","1,116","1,132","1,148","1,165","1,181","1,197","1,213","1,229","1,245","1,262","1,280","1,297","1,314","1,331","1,349","1,366","1,383","1,400","1,418","1,430","1,442","1,454","1,466","1,479","1,491","1,503","1,515","1,527","1,540","1,564","1,588","1,612","1,636","1,660","1,684","1,708","1,732","1,756","1,780","1,800","1,819","1,838","1,857","1,876","1,895","1,915","1,934","1,953","1,972","1,990","2,007","2,024","2,042","2,059","2,077","2,094","2,111","2,129","2,146","2,162","2,177","2,192","2,208","2,223","2,238","2,254","2,269","2,285","2,300",,,,,,,,,,
EURASIA ,Cement,Emissions,Mt CO2e,Baseline,"2,339","2,366","2,394","2,421","2,449","2,476","2,511","2,545","2,580","2,614","2,649","2,684","2,718","2,753","2,788","2,822","2,856","2,891","2,924","2,958","2,992","3,040","3,088","3,136","3,184","3,231","3,279","3,326","3,372","3,419","3,465","3,502","3,539","3,576","3,612","3,648","3,683","3,719","3,754","3,789","3,823","3,861","3,899","3,937","3,974","4,011","4,048","4,084","4,120","4,156","4,191","4,224","4,256","4,288","4,320","4,352","4,383","4,413","4,444","4,474","4,504","4,527","4,550","4,572","4,595","4,617","4,638","4,660","4,681","4,702","4,722","4,747","4,771","4,795","4,819","4,842","4,865","4,888","4,910","4,933","4,955",,,,,,,,,,
RUS ,CH4,Emissions,Mt CO2e,Baseline,"9,334","9,426","9,518","9,610","9,701","9,793","9,903","10,014","10,125","10,235","10,344","10,452","10,560","10,667","10,774","10,880","10,986","11,092","11,197","11,301","11,405","11,543","11,686","11,827","11,969","12,109","12,249","12,388","12,526","12,664","12,800","12,912","13,023","13,134","13,243","13,352","13,460","13,566","13,672","13,777","13,881","13,995","14,108","14,220","14,332","14,442","14,551","14,659","14,766","14,873","14,978","15,076","15,173","15,269","15,364","15,458","15,551","15,643","15,734","15,824","15,913","15,985","16,056","16,125","16,194","16,262","16,329","16,395","16,460","16,524","16,587","16,661","16,734","16,806","16,877","16,948","17,017","17,085","17,153","17,220","17,286",,,,,,,,,,
RUS ,N2O,Emissions,Mt CO2e,Baseline,"4,766","4,806","4,845","4,885","4,924","4,964","5,003","5,043","5,083","5,122","5,162","5,193","5,224","5,255","5,286","5,317","5,348","5,379","5,410","5,441","5,472","5,496","5,524","5,552","5,579","5,606","5,632","5,658","5,683","5,708","5,732","5,755","5,779","5,801","5,823","5,845","5,866","5,886","5,906","5,926","5,945","5,963","5,981","5,998","6,015","6,031","6,047","6,062","6,077","6,091","6,105","6,118","6,131","6,143","6,155","6,166","6,176","6,186","6,196","6,205","6,213","6,221","6,229","6,236","6,242","6,248","6,253","6,258","6,263","6,266","6,270","6,272","6,275","6,276","6,278","6,278","6,278","6,278","6,277","6,276","6,274",,,,,,,,,,
RUS ,F-Gases,Emissions,Mt CO2e,Baseline,926,942,958,974,989,"1,005","1,021","1,037","1,052","1,068","1,084","1,100","1,116","1,132","1,148","1,165","1,181","1,197","1,213","1,229","1,245","1,262","1,280","1,297","1,314","1,331","1,349","1,366","1,383","1,400","1,418","1,430","1,442","1,454","1,466","1,479","1,491","1,503","1,515","1,527","1,540","1,564","1,588","1,612","1,636","1,660","1,684","1,708","1,732","1,756","1,780","1,800","1,819","1,838","1,857","1,876","1,895","1,915","1,934","1,953","1,972","1,990","2,007","2,024","2,042","2,059","2,077","2,094","2,111","2,129","2,146","2,162","2,177","2,192","2,208","2,223","2,238","2,254","2,269","2,285","2,300",,,,,,,,,,
RUS ,Cement,Emissions,Mt CO2e,Baseline,"2,339","2,366","2,394","2,421","2,449","2,476","2,511","2,545","2,580","2,614","2,649","2,684","2,718","2,753","2,788","2,822","2,856","2,891","2,924","2,958","2,992","3,040","3,088","3,136","3,184","3,231","3,279","3,326","3,372","3,419","3,465","3,502","3,539","3,576","3,612","3,648","3,683","3,719","3,754","3,789","3,823","3,861","3,899","3,937","3,974","4,011","4,048","4,084","4,120","4,156","4,191","4,224","4,256","4,288","4,320","4,352","4,383","4,413","4,444","4,474","4,504","4,527","4,550","4,572","4,595","4,617","4,638","4,660","4,681","4,702","4,722","4,747","4,771","4,795","4,819","4,842","4,865","4,888","4,910","4,933","4,955",,,,,,,,,,
ASIAPAC ,CH4,Emissions,Mt CO2e,Baseline,"9,334","9,426","9,518","9,610","9,701","9,793","9,903","10,014","10,125","10,235","10,344","10,452","10,560","10,667","10,774","10,880","10,986","11,092","11,197","11,301","11,405","11,543","11,686","11,827","11,969","12,109","12,249","12,388","12,526","12,664","12,800","12,912","13,023","13,134","13,243","13,352","13,460","13,566","13,672","13,777","13,881","13,995","14,108","14,220","14,332","14,442","14,551","14,659","14,766","14,873","14,978","15,076","15,173","15,269","15,364","15,458","15,551","15,643","15,734","15,824","15,913","15,985","16,056","16,125","16,194","16,262","16,329","16,395","16,460","16,524","16,587","16,661","16,734","16,806","16,877","16,948","17,017","17,085","17,153","17,220","17,286",,,,,,,,,,
ASIAPAC ,N2O,Emissions,Mt CO2e,Baseline,"4,766","4,806","4,845","4,885","4,924","4,964","5,003","5,043","5,083","5,122","5,162","5,193","5,224","5,255","5,286","5,317","5,348","5,379","5,410","5,441","5,472","5,496","5,524","5,552","5,579","5,606","5,632","5,658","5,683","5,708","5,732","5,755","5,779","5,801","5,823","5,845","5,866","5,886","5,906","5,926","5,945","5,963","5,981","5,998","6,015","6,031","6,047","6,062","6,077","6,091","6,105","6,118","6,131","6,143","6,155","6,166","6,176","6,186","6,196","6,205","6,213","6,221","6,229","6,236","6,242","6,248","6,253","6,258","6,263","6,266","6,270","6,272","6,275","6,276","6,278","6,278","6,278","6,278","6,277","6,276","6,274",,,,,,,,,,
ASIAPAC ,F-Gases,Emissions,Mt CO2e,Baseline,926,942,958,974,989,"1,005","1,021","1,037","1,052","1,068","1,084","1,100","1,116","1,132","1,148","1,165","1,181","1,197","1,213","1,229","1,245","1,262","1,280","1,297","1,314","1,331","1,349","1,366","1,383","1,400","1,418","1,430","1,442","1,454","1,466","1,479","1,491","1,503","1,515","1,527","1,540","1,564","1,588","1,612","1,636","1,660","1,684","1,708","1,732","1,756","1,780","1,800","1,819","1,838","1,857","1,876","1,895","1,915","1,934","1,953","1,972","1,990","2,007","2,024","2,042","2,059","2,077","2,094","2,111","2,129","2,146","2,162","2,177","2,192","2,208","2,223","2,238","2,254","2,269","2,285","2,300",,,,,,,,,,
ASIAPAC ,Cement,Emissions,Mt CO2e,Baseline,"2,339","2,366","2,394","2,421","2,449","2,476","2,511","2,545","2,580","2,614","2,649","2,684","2,718","2,753","2,788","2,822","2,856","2,891","2,924","2,958","2,992","3,040","3,088","3,136","3,184","3,231","3,279","3,326","3,372","3,419","3,465","3,502","3,539","3,576","3,612","3,648","3,683","3,719","3,754","3,789","3,823","3,861","3,899","3,937","3,974","4,011","4,048","4,084","4,120","4,156","4,191","4,224","4,256","4,288","4,320","4,352","4,383","4,413","4,444","4,474","4,504","4,527","4,550","4,572","4,595","4,617","4,638","4,660","4,681","4,702","4,722","4,747","4,771","4,795","4,819","4,842","4,865","4,888","4,910","4,933","4,955",,,,,,,,,,
CHINA ,CH4,Emissions,Mt CO2e,Baseline,"9,334","9,426","9,518","9,610","9,701","9,793","9,903","10,014","10,125","10,235","10,344","10,452","10,560","10,667","10,774","10,880","10,986","11,092","11,197","11,301","11,405","11,543","11,686","11,827","11,969","12,109","12,249","12,388","12,526","12,664","12,800","12,912","13,023","13,134","13,243","13,352","13,460","13,566","13,672","13,777","13,881","13,995","14,108","14,220","14,332","14,442","14,551","14,659","14,766","14,873","14,978","15,076","15,173","15,269","15,364","15,458","15,551","15,643","15,734","15,824","15,913","15,985","16,056","16,125","16,194","16,262","16,329","16,395","16,460","16,524","16,587","16,661","16,734","16,806","16,877","16,948","17,017","17,085","17,153","17,220","17,286",,,,,,,,,,
CHINA ,N2O,Emissions,Mt CO2e,Baseline,"4,766","4,806","4,845","4,885","4,924","4,964","5,003","5,043","5,083","5,122","5,162","5,193","5,224","5,255","5,286","5,317","5,348","5,379","5,410","5,441","5,472","5,496","5,524","5,552","5,579","5,606","5,632","5,658","5,683","5,708","5,732","5,755","5,779","5,801","5,823","5,845","5,866","5,886","5,906","5,926","5,945","5,963","5,981","5,998","6,015","6,031","6,047","6,062","6,077","6,091","6,105","6,118","6,131","6,143","6,155","6,166","6,176","6,186","6,196","6,205","6,213","6,221","6,229","6,236","6,242","6,248","6,253","6,258","6,263","6,266","6,270","6,272","6,275","6,276","6,278","6,278","6,278","6,278","6,277","6,276","6,274",,,,,,,,,,
CHINA ,F-Gases,Emissions,Mt CO2e,Baseline,926,942,958,974,989,"1,005","1,021","1,037","1,052","1,068","1,084","1,100","1,116","1,132","1,148","1,165","1,181","1,197","1,213","1,229","1,245","1,262","1,280","1,297","1,314","1,331","1,349","1,366","1,383","1,400","1,418","1,430","1,442","1,454","1,466","1,479","1,491","1,503","1,515","1,527","1,540","1,564","1,588","1,612","1,636","1,660","1,684","1,708","1,732","1,756","1,780","1,800","1,819","1,838","1,857","1,876","1,895","1,915","1,934","1,953","1,972","1,990","2,007","2,024","2,042","2,059","2,077","2,094","2,111","2,129","2,146","2,162","2,177","2,192","2,208","2,223","2,238","2,254","2,269","2,285","2,300",,,,,,,,,,
CHINA ,Cement,Emissions,Mt CO2e,Baseline,"2,339","2,366","2,394","2,421","2,449","2,476","2,511","2,545","2,580","2,614","2,649","2,684","2,718","2,753","2,788","2,822","2,856","2,891","2,924","2,958","2,992","3,040","3,088","3,136","3,184","3,231","3,279","3,326","3,372","3,419","3,465","3,502","3,539","3,576","3,612","3,648","3,683","3,719","3,754","3,789","3,823","3,861","3,899","3,937","3,974","4,011","4,048","4,084","4,120","4,156","4,191","4,224","4,256","4,288","4,320","4,352","4,383","4,413","4,444","4,474","4,504","4,527","4,550","4,572","4,595","4,617","4,638","4,660","4,681","4,702","4,722","4,747","4,771","4,795","4,819","4,842","4,865","4,888","4,910","4,933","4,955",,,,,,,,,,
INDIA ,CH4,Emissions,Mt CO2e,Baseline,"9,334","9,426","9,518","9,610","9,701","9,793","9,903","10,014","10,125","10,235","10,344","10,452","10,560","10,667","10,774","10,880","10,986","11,092","11,197","11,301","11,405","11,543","11,686","11,827","11,969","12,109","12,249","12,388","12,526","12,664","12,800","12,912","13,023","13,134","13,243","13,352","13,460","13,566","13,672","13,777","13,881","13,995","14,108","14,220","14,332","14,442","14,551","14,659","14,766","14,873","14,978","15,076","15,173","15,269","15,364","15,458","15,551","15,643","15,734","15,824","15,913","15,985","16,056","16,125","16,194","16,262","16,329","16,395","16,460","16,524","16,587","16,661","16,734","16,806","16,877","16,948","17,017","17,085","17,153","17,220","17,286",,,,,,,,,,
INDIA ,N2O,Emissions,Mt CO2e,Baseline,"4,766","4,806","4,845","4,885","4,924","4,964","5,003","5,043","5,083","5,122","5,162","5,193","5,224","5,255","5,286","5,317","5,348","5,379","5,410","5,441","5,472","5,496","5,524","5,552","5,579","5,606","5,632","5,658","5,683","5,708","5,732","5,755","5,779","5,801","5,823","5,845","5,866","5,886","5,906","5,926","5,945","5,963","5,981","5,998","6,015","6,031","6,047","6,062","6,077","6,091","6,105","6,118","6,131","6,143","6,155","6,166","6,176","6,186","6,196","6,205","6,213","6,221","6,229","6,236","6,242","6,248","6,253","6,258","6,263","6,266","6,270","6,272","6,275","6,276","6,278","6,278","6,278","6,278","6,277","6,276","6,274",,,,,,,,,,
INDIA ,F-Gases,Emissions,Mt CO2e,Baseline,926,942,958,974,989,"1,005","1,021","1,037","1,052","1,068","1,084","1,100","1,116","1,132","1,148","1,165","1,181","1,197","1,213","1,229","1,245","1,262","1,280","1,297","1,314","1,331","1,349","1,366","1,383","1,400","1,418","1,430","1,442","1,454","1,466","1,479","1,491","1,503","1,515","1,527","1,540","1,564","1,588","1,612","1,636","1,660","1,684","1,708","1,732","1,756","1,780","1,800","1,819","1,838","1,857","1,876","1,895","1,915","1,934","1,953","1,972","1,990","2,007","2,024","2,042","2,059","2,077","2,094","2,111","2,129","2,146","2,162","2,177","2,192","2,208","2,223","2,238","2,254","2,269","2,285","2,300",,,,,,,,,,
INDIA ,Cement,Emissions,Mt CO2e,Baseline,"2,339","2,366","2,394","2,421","2,449","2,476","2,511","2,545","2,580","2,614","2,649","2,684","2,718","2,753","2,788","2,822","2,856","2,891","2,924","2,958","2,992","3,040","3,088","3,136","3,184","3,231","3,279","3,326","3,372","3,419","3,465","3,502","3,539","3,576","3,612","3,648","3,683","3,719","3,754","3,789","3,823","3,861","3,899","3,937","3,974","4,011","4,048","4,084","4,120","4,156","4,191","4,224","4,256","4,288","4,320","4,352","4,383","4,413","4,444","4,474","4,504","4,527","4,550","4,572","4,595","4,617","4,638","4,660","4,681","4,702","4,722","4,747","4,771","4,795","4,819","4,842","4,865","4,888","4,910","4,933","4,955",,,,,,,,,,
JPN ,CH4,Emissions,Mt CO2e,Baseline,"9,334","9,426","9,518","9,610","9,701","9,793","9,903","10,014","10,125","10,235","10,344","10,452","10,560","10,667","10,774","10,880","10,986","11,092","11,197","11,301","11,405","11,543","11,686","11,827","11,969","12,109","12,249","12,388","12,526","12,664","12,800","12,912","13,023","13,134","13,243","13,352","13,460","13,566","13,672","13,777","13,881","13,995","14,108","14,220","14,332","14,442","14,551","14,659","14,766","14,873","14,978","15,076","15,173","15,269","15,364","15,458","15,551","15,643","15,734","15,824","15,913","15,985","16,056","16,125","16,194","16,262","16,329","16,395","16,460","16,524","16,587","16,661","16,734","16,806","16,877","16,948","17,017","17,085","17,153","17,220","17,286",,,,,,,,,,
JPN ,N2O,Emissions,Mt CO2e,Baseline,"4,766","4,806","4,845","4,885","4,924","4,964","5,003","5,043","5,083","5,122","5,162","5,193","5,224","5,255","5,286","5,317","5,348","5,379","5,410","5,441","5,472","5,496","5,524","5,552","5,579","5,606","5,632","5,658","5,683","5,708","5,732","5,755","5,779","5,801","5,823","5,845","5,866","5,886","5,906","5,926","5,945","5,963","5,981","5,998","6,015","6,031","6,047","6,062","6,077","6,091","6,105","6,118","6,131","6,143","6,155","6,166","6,176","6,186","6,196","6,205","6,213","6,221","6,229","6,236","6,242","6,248","6,253","6,258","6,263","6,266","6,270","6,272","6,275","6,276","6,278","6,278","6,278","6,278","6,277","6,276","6,274",,,,,,,,,,
JPN ,F-Gases,Emissions,Mt CO2e,Baseline,926,942,958,974,989,"1,005","1,021","1,037","1,052","1,068","1,084","1,100","1,116","1,132","1,148","1,165","1,181","1,197","1,213","1,229","1,245","1,262","1,280","1,297","1,314","1,331","1,349","1,366","1,383","1,400","1,418","1,430","1,442","1,454","1,466","1,479","1,491","1,503","1,515","1,527","1,540","1,564","1,588","1,612","1,636","1,660","1,684","1,708","1,732","1,756","1,780","1,800","1,819","1,838","1,857","1,876","1,895","1,915","1,934","1,953","1,972","1,990","2,007","2,024","2,042","2,059","2,077","2,094","2,111","2,129","2,146","2,162","2,177","2,192","2,208","2,223","2,238","2,254","2,269","2,285","2,300",,,,,,,,,,
JPN ,Cement,Emissions,Mt CO2e,Baseline,"2,339","2,366","2,394","2,421","2,449","2,476","2,511","2,545","2,580","2,614","2,649","2,684","2,718","2,753","2,788","2,822","2,856","2,891","2,924","2,958","2,992","3,040","3,088","3,136","3,184","3,231","3,279","3,326","3,372","3,419","3,465","3,502","3,539","3,576","3,612","3,648","3,683","3,719","3,754","3,789","3,823","3,861","3,899","3,937","3,974","4,011","4,048","4,084","4,120","4,156","4,191","4,224","4,256","4,288","4,320","4,352","4,383","4,413","4,444","4,474","4,504","4,527","4,550","4,572","4,595","4,617","4,638","4,660","4,681","4,702","4,722","4,747","4,771","4,795","4,819","4,842","4,865","4,888","4,910","4,933","4,955",,,,,,,,,,
ASEAN ,CH4,Emissions,Mt CO2e,Baseline,"9,334","9,426","9,518","9,610","9,701","9,793","9,903","10,014","10,125","10,235","10,344","10,452","10,560","10,667","10,774","10,880","10,986","11,092","11,197","11,301","11,405","11,543","11,686","11,827","11,969","12,109","12,249","12,388","12,526","12,664","12,800","12,912","13,023","13,134","13,243","13,352","13,460","13,566","13,672","13,777","13,881","13,995","14,108","14,220","14,332","14,442","14,551","14,659","14,766","14,873","14,978","15,076","15,173","15,269","15,364","15,458","15,551","15,643","15,734","15,824","15,913","15,985","16,056","16,125","16,194","16,262","16,329","16,395","16,460","16,524","16,587","16,661","16,734","16,806","16,877","16,948","17,017","17,085","17,153","17,220","17,286",,,,,,,,,,
ASEAN ,N2O,Emissions,Mt CO2e,Baseline,"4,766","4,806","4,845","4,885","4,924","4,964","5,003","5,043","5,083","5,122","5,162","5,193","5,224","5,255","5,286","5,317","5,348","5,379","5,410","5,441","5,472","5,496","5,524","5,552","5,579","5,606","5,632","5,658","5,683","5,708","5,732","5,755","5,779","5,801","5,823","5,845","5,866","5,886","5,906","5,926","5,945","5,963","5,981","5,998","6,015","6,031","6,047","6,062","6,077","6,091","6,105","6,118","6,131","6,143","6,155","6,166","6,176","6,186","6,196","6,205","6,213","6,221","6,229","6,236","6,242","6,248","6,253","6,258","6,263","6,266","6,270","6,272","6,275","6,276","6,278","6,278","6,278","6,278","6,277","6,276","6,274",,,,,,,,,,
ASEAN ,F-Gases,Emissions,Mt CO2e,Baseline,926,942,958,974,989,"1,005","1,021","1,037","1,052","1,068","1,084","1,100","1,116","1,132","1,148","1,165","1,181","1,197","1,213","1,229","1,245","1,262","1,280","1,297","1,314","1,331","1,349","1,366","1,383","1,400","1,418","1,430","1,442","1,454","1,466","1,479","1,491","1,503","1,515","1,527","1,540","1,564","1,588","1,612","1,636","1,660","1,684","1,708","1,732","1,756","1,780","1,800","1,819","1,838","1,857","1,876","1,895","1,915","1,934","1,953","1,972","1,990","2,007","2,024","2,042","2,059","2,077","2,094","2,111","2,129","2,146","2,162","2,177","2,192","2,208","2,223","2,238","2,254","2,269","2,285","2,300",,,,,,,,,,
ASEAN ,Cement,Emissions,Mt CO2e,Baseline,"2,339","2,366","2,394","2,421","2,449","2,476","2,511","2,545","2,580","2,614","2,649","2,684","2,718","2,753","2,788","2,822","2,856","2,891","2,924","2,958","2,992","3,040","3,088","3,136","3,184","3,231","3,279","3,326","3,372","3,419","3,465","3,502","3,539","3,576","3,612","3,648","3,683","3,719","3,754","3,789","3,823","3,861","3,899","3,937","3,974","4,011","4,048","4,084","4,120","4,156","4,191","4,224","4,256","4,288","4,320","4,352","4,383","4,413","4,444","4,474","4,504","4,527","4,550","4,572","4,595","4,617","4,638","4,660","4,681","4,702","4,722","4,747","4,771","4,795","4,819","4,842","4,865","4,888","4,910","4,933","4,955",,,,,,,,,,
OECD ,CH4,Emissions,Mt CO2e,Baseline,"9,334","9,426","9,518","9,610","9,701","9,793","9,903","10,014","10,125","10,235","10,344","10,452","10,560","10,667","10,774","10,880","10,986","11,092","11,197","11,301","11,405","11,543","11,686","11,827","11,969","12,109","12,249","12,388","12,526","12,664","12,800","12,912","13,023","13,134","13,243","13,352","13,460","13,566","13,672","13,777","13,881","13,995","14,108","14,220","14,332","14,442","14,551","14,659","14,766","14,873","14,978","15,076","15,173","15,269","15,364","15,458","15,551","15,643","15,734","15,824","15,913","15,985","16,056","16,125","16,194","16,262","16,329","16,395","16,460","16,524","16,587","16,661","16,734","16,806","16,877","16,948","17,017","17,085","17,153","17,220","17,286",,,,,,,,,,
OECD ,N2O,Emissions,Mt CO2e,Baseline,"4,766","4,806","4,845","4,885","4,924","4,964","5,003","5,043","5,083","5,122","5,162","5,193","5,224","5,255","5,286","5,317","5,348","5,379","5,410","5,441","5,472","5,496","5,524","5,552","5,579","5,606","5,632","5,658","5,683","5,708","5,732","5,755","5,779","5,801","5,823","5,845","5,866","5,886","5,906","5,926","5,945","5,963","5,981","5,998","6,015","6,031","6,047","6,062","6,077","6,091","6,105","6,118","6,131","6,143","6,155","6,166","6,176","6,186","6,196","6,205","6,213","6,221","6,229","6,236","6,242","6,248","6,253","6,258","6,263","6,266","6,270","6,272","6,275","6,276","6,278","6,278","6,278","6,278","6,277","6,276","6,274",,,,,,,,,,
OECD ,F-Gases,Emissions,Mt CO2e,Baseline,926,942,958,974,989,"1,005","1,021","1,037","1,052","1,068","1,084","1,100","1,116","1,132","1,148","1,165","1,181","1,197","1,213","1,229","1,245","1,262","1,280","1,297","1,314","1,331","1,349","1,366","1,383","1,400","1,418","1,430","1,442","1,454","1,466","1,479","1,491","1,503","1,515","1,527","1,540","1,564","1,588","1,612","1,636","1,660","1,684","1,708","1,732","1,756","1,780","1,800","1,819","1,838","1,857","1,876","1,895","1,915","1,934","1,953","1,972","1,990","2,007","2,024","2,042","2,059","2,077","2,094","2,111","2,129","2,146","2,162","2,177","2,192","2,208","2,223","2,238","2,254","2,269","2,285","2,300",,,,,,,,,,
OECD ,Cement,Emissions,Mt CO2e,Baseline,"2,339","2,366","2,394","2,421","2,449","2,476","2,511","2,545","2,580","2,614","2,649","2,684","2,718","2,753","2,788","2,822","2,856","2,891","2,924","2,958","2,992","3,040","3,088","3,136","3,184","3,231","3,279","3,326","3,372","3,419","3,465","3,502","3,539","3,576","3,612","3,648","3,683","3,719","3,754","3,789","3,823","3,861","3,899","3,937","3,974","4,011","4,048","4,084","4,120","4,156","4,191","4,224","4,256","4,288","4,320","4,352","4,383","4,413","4,444","4,474","4,504","4,527","4,550","4,572","4,595","4,617","4,638","4,660","4,681","4,702","4,722","4,747","4,771","4,795","4,819","4,842","4,865","4,888","4,910","4,933","4,955",,,,,,,,,,
NonOECD ,CH4,Emissions,Mt CO2e,Baseline,"9,334","9,426","9,518","9,610","9,701","9,793","9,903","10,014","10,125","10,235","10,344","10,452","10,560","10,667","10,774","10,880","10,986","11,092","11,197","11,301","11,405","11,543","11,686","11,827","11,969","12,109","12,249","12,388","12,526","12,664","12,800","12,912","13,023","13,134","13,243","13,352","13,460","13,566","13,672","13,777","13,881","13,995","14,108","14,220","14,332","14,442","14,551","14,659","14,766","14,873","14,978","15,076","15,173","15,269","15,364","15,458","15,551","15,643","15,734","15,824","15,913","15,985","16,056","16,125","16,194","16,262","16,329","16,395","16,460","16,524","16,587","16,661","16,734","16,806","16,877","16,948","17,017","17,085","17,153","17,220","17,286",,,,,,,,,,
NonOECD ,N2O,Emissions,Mt CO2e,Baseline,"4,766","4,806","4,845","4,885","4,924","4,964","5,003","5,043","5,083","5,122","5,162","5,193","5,224","5,255","5,286","5,317","5,348","5,379","5,410","5,441","5,472","5,496","5,524","5,552","5,579","5,606","5,632","5,658","5,683","5,708","5,732","5,755","5,779","5,801","5,823","5,845","5,866","5,886","5,906","5,926","5,945","5,963","5,981","5,998","6,015","6,031","6,047","6,062","6,077","6,091","6,105","6,118","6,131","6,143","6,155","6,166","6,176","6,186","6,196","6,205","6,213","6,221","6,229","6,236","6,242","6,248","6,253","6,258","6,263","6,266","6,270","6,272","6,275","6,276","6,278","6,278","6,278","6,278","6,277","6,276","6,274",,,,,,,,,,
NonOECD ,F-Gases,Emissions,Mt CO2e,Baseline,926,942,958,974,989,"1,005","1,021","1,037","1,052","1,068","1,084","1,100","1,116","1,132","1,148","1,165","1,181","1,197","1,213","1,229","1,245","1,262","1,280","1,297","1,314","1,331","1,349","1,366","1,383","1,400","1,418","1,430","1,442","1,454","1,466","1,479","1,491","1,503","1,515","1,527","1,540","1,564","1,588","1,612","1,636","1,660","1,684","1,708","1,732","1,756","1,780","1,800","1,819","1,838","1,857","1,876","1,895","1,915","1,934","1,953","1,972","1,990","2,007","2,024","2,042","2,059","2,077","2,094","2,111","2,129","2,146","2,162","2,177","2,192","2,208","2,223","2,238","2,254","2,269","2,285","2,300",,,,,,,,,,
NonOECD ,Cement,Emissions,Mt CO2e,Baseline,"2,339","2,366","2,394","2,421","2,449","2,476","2,511","2,545","2,580","2,614","2,649","2,684","2,718","2,753","2,788","2,822","2,856","2,891","2,924","2,958","2,992","3,040","3,088","3,136","3,184","3,231","3,279","3,326","3,372","3,419","3,465","3,502","3,539","3,576","3,612","3,648","3,683","3,719","3,754","3,789","3,823","3,861","3,899","3,937","3,974","4,011","4,048","4,084","4,120","4,156","4,191","4,224","4,256","4,288","4,320","4,352","4,383","4,413","4,444","4,474","4,504","4,527","4,550","4,572","4,595","4,617","4,638","4,660","4,681","4,702","4,722","4,747","4,771","4,795","4,819","4,842","4,865","4,888","4,910","4,933","4,955",,,,,,,,,,
